myspace.com,63.135.90.224
cnet.com,64.30.224.118
go.com,68.71.220.3
ifeng.com,123.125.72.60
4399.com,115.182.52.231
ameblo.jp,180.233.142.129
4shared.com,74.117.178.55
amazon.co.jp,176.32.120.15
google.com,74.125.225.192
waefuaneafeoif.com,
bbc.co.uk,212.58.241.131
skype.com,78.141.177.180
dailymotion.com,188.65.120.135
yandex.ru,87.250.250.11
imdb.com,72.21.210.29
amazon.com,72.21.215.232
wordpress.com,66.155.11.243
tudou.com,114.80.121.166
aol.com,205.188.100.58
sohu.com,61.135.181.176
linkedin.com,216.52.242.86
apple.com,17.149.160.49
hao123.com,123.125.114.224
pps.tv,211.151.142.154
56.com,61.142.208.67
paypal.com,66.211.169.3
fc2.com,50.112.138.148
ebay.com,66.135.205.14
8990210hjiwhau8yea.com,
ku6.com,122.11.45.242
tmall.com,122.228.242.241
goo.ne.jp,218.213.142.230
xunlei.com,58.251.57.164
rakuten.co.jp,202.72.51.22
facebook.com,173.252.110.27
youtube.com,74.125.225.196
about.com,207.241.148.80
live.com,65.55.206.154
mail.ru,94.100.191.247
orkut.com.br,74.125.133.85
msn.com,65.55.206.228
baidu.com,123.125.114.144
wikipedia.org,208.80.152.201
qq.com,220.181.138.59
blogspot.com,74.125.133.191
yahoo.com,98.138.253.109
hotmail.com,65.55.72.183
987saasdf.com,
taobao.com,121.14.24.241
bing.com,204.79.197.200
weather.com,96.8.81.132
paipai.com,58.251.150.244
soku.com,61.135.196.23
163.com,123.58.180.8
alibaba.com,205.204.112.1
megaupload.com,
aseiufanwofn.org,
livedoor.jp,125.6.149.67
craigslist.org,208.82.236.225
naver.com,220.95.233.171
blogger.com,74.125.133.191
adobe.com,192.150.16.117
softonic.com,46.28.209.20
nifty.com,210.131.4.217
imageshack.us,208.94.2.7
cnn.com,157.166.226.26
tianya.cn,124.225.135.222
ask.com,66.235.120.127
hp.com,15.193.176.227
awecaj89621nk.com,
kugou.com,113.106.27.245
walmart.com,161.170.248.20
ebay.de,66.135.200.23
youdao.com,61.135.218.30
hotfile.com,199.7.177.232
qiyi.com,202.108.14.15
twitter.com,199.59.150.39
mozilla.com,63.245.217.20
youku.com,121.9.204.234
pconline.com.cn,219.136.245.40
yahoo.co.jp,203.216.243.240
mywebsearch.com,66.235.119.48
answers.com,67.196.156.65
rapidshare.com,80.239.220.8
daum.net,110.45.215.23
7k7k.com,115.182.59.33
sina.com.cn,202.108.33.60
360.cn,220.181.24.100
sogou.com,220.181.124.201
alipay.com,110.75.143.33
soso.com,61.135.167.27
photobucket.com,209.17.80.100
mediafire.com,205.196.120.13
ehow.com,98.124.247.46
seesaa.net,59.106.28.139
jp.msn.com,207.46.68.62
partypoker.com,195.81.248.141
vkontakte.ru,87.240.156.163
odnoklassniki.ru,217.20.147.94
2345.com,122.227.230.133
